link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region
C650_Link01,C65001,Lira - Corner Kilak,33.237418,2.405071,2022,5,1263.0,1056.0,116.0,55.0,16.0,32.0,2.5336500395882817,0.11,-6.53,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,1,1177.0,833.0,274.0,60.0,4.0,8.0,0.6796941376380629,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,3,1028.0,716.0,264.0,38.0,5.0,10.0,0.9727626459143969,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,4,1019.0,704.0,266.0,39.0,4.5,9.0,0.8832188420019628,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,5,1063.0,267.0,474.0,100.0,66.0,132.0,12.417685794920038,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,6,1024.0,208.0,509.0,107.0,63.5,127.0,12.40234375,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,7,1039.0,191.0,535.0,113.0,64.5,129.0,12.415784408084697,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,8,1090.0,672.0,373.0,35.0,4.0,8.0,0.7339449541284404,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,10,1073.0,851.0,154.0,49.0,8.0,16.0,1.4911463187325256,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2019,12,1071.0,738.0,272.0,46.0,5.5,11.0,1.0270774976657329,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2020,2,1278.0,994.0,207.0,61.0,6.0,12.0,0.9389671361502347,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2020,3,1171.0,830.0,261.0,59.0,9.5,19.0,1.6225448334756618,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2020,10,1043.0,847.0,130.0,45.0,9.5,19.0,1.821668264621285,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2020,12,1142.0,932.0,137.0,55.0,8.0,16.0,1.4010507880910683,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,1,1124.0,907.0,156.0,53.0,3.5,7.0,0.6227758007117438,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,2,1267.0,882.0,313.0,59.0,6.0,12.0,0.9471191791633782,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,3,1185.0,649.0,463.0,61.0,5.0,10.0,0.8438818565400843,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,4,1167.0,678.0,382.0,68.0,11.5,23.0,1.970865467009426,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,5,1220.0,925.0,224.0,56.0,5.0,10.0,0.819672131147541,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,6,1031.0,717.0,266.0,38.0,3.5,7.0,0.6789524733268671,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2021,10,1286.0,949.0,263.0,57.0,7.0,14.0,1.088646967340591,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2022,1,1373.0,1050.0,245.0,62.0,7.0,14.0,1.0196649672250546,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2022,3,1131.0,901.0,160.0,53.0,7.0,14.0,1.237842617152962,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2022,5,519.0,376.0,100.0,33.0,4.0,8.0,1.5414258188824663,0.11,-3.26,ATC_permanent,North
C686_Link01,C68601,Lamogi - Amuru Junction,32.058582,2.827651,2022,6,833.0,655.0,128.0,33.0,7.5,15.0,1.800720288115246,0.11,-3.26,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,7,1049.0,253.0,494.0,106.0,66.5,133.0,12.678741658722592,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,8,1312.0,660.0,550.0,77.0,9.5,19.0,1.4481707317073171,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,9,1146.0,325.0,480.0,98.0,67.0,134.0,11.69284467713787,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,10,1073.0,851.0,154.0,49.0,8.0,16.0,1.4911463187325256,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,11,1057.0,330.0,392.0,79.0,66.5,133.0,12.582781456953644,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebi - Olevu,31.049571,2.438181,2019,12,956.0,343.0,345.0,54.0,65.0,130.0,13.598326359832635,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,1,1185.0,254.0,528.0,102.0,91.0,182.0,15.358649789029535,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,2,1100.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
