link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region,road_class,road_class_enc,region_enc,dist_kampala_km,dist_nearest_town_km,length_km,surface_enc,betweenness_proxy,is_dry_season,is_holiday_month,year_norm,month_sin,month_cos,gdp_proxy,spatial_lag_aadt_k3,spatial_lag_aadt_k5,station_mean_aadt,log_AADT
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,11,33110.0,15611.0,12874.0,2520.0,514.5,1029.0,3.107822410147992,0.11,7.17,ATC_permanent,Central,A,4,0,4931.917112787366,4582.408965129907,17.737,2,3.449,0,0,0.3333333333333333,-0.5000000000000004,0.8660254037844384,8.0,15371.518518518518,10922.153968253968,33021.5,10.407620832440994
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,12,34829.0,18009.0,12289.0,2386.0,522.0,1044.0,2.997502081598668,0.11,7.17,ATC_permanent,Central,A,4,0,4931.917112787366,4582.408965129907,17.737,2,3.449,1,0,0.3333333333333333,-2.4492935982947064e-16,1.0,8.0,15371.518518518518,10922.153968253968,33021.5,10.458234363360047
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2020,1,34207.0,16539.0,13340.0,2409.0,487.0,974.0,2.8473704212588067,0.11,7.17,ATC_permanent,Central,A,4,0,4931.917112787366,4582.408965129907,17.737,2,3.449,1,1,0.4444444444444444,0.49999999999999994,0.8660254037844387,3.0,15371.518518518518,10922.153968253968,33021.5,10.440214813824772
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2020,2,35851.0,18100.0,12876.0,2634.0,564.5,1129.0,3.1491450726618506,0.11,7.17,ATC_permanent,Central,A,4,0,4931.917112787366,4582.408965129907,17.737,2,3.449,1,0,0.4444444444444444,0.8660254037844386,0.5000000000000001,3.0,15371.518518518518,10922.153968253968,33021.5,10.487154632477253
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,3,2664.0,1345.0,1126.0,129.0,25.5,51.0,1.9144144144144144,0.11,-42.44,ATC_permanent,North East,C,2,2,4945.543563180108,4594.210272827464,45.953,0,0.448,0,0,0.5555555555555556,1.0,6.123233995736766e-17,3.3,1592.75,1034.1299999999999,2038.5727272727272,7.887959336599945
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,2,6724.0,1000.0,2966.0,795.0,400.0,800.0,11.89767995240928,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.3333333333333333,0.8660254037844386,0.5000000000000001,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.81358720447004
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,4,6990.0,840.0,1865.0,661.0,1020.0,2040.0,29.184549356223176,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.3333333333333333,0.8660254037844387,-0.4999999999999998,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.852378886511985
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,5,6256.0,1045.0,2701.0,860.0,352.0,704.0,11.253196930946292,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.3333333333333333,0.49999999999999994,-0.8660254037844387,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.741456115998364
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,6,6600.0,954.0,1722.0,755.0,817.0,1634.0,24.75757575757576,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,1,0.3333333333333333,1.2246467991473532e-16,-1.0,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.79497643168877
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,7,8142.0,2341.0,3601.0,895.0,472.0,944.0,11.594202898550725,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.3333333333333333,-0.4999999999999997,-0.8660254037844388,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,9.004913941467132
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,8,6557.0,2159.0,2829.0,777.0,272.0,544.0,8.296477047430226,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.3333333333333333,-0.8660254037844385,-0.5000000000000004,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.788440957404594
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,9,8336.0,2401.0,3710.0,803.0,507.5,1015.0,12.176103646833011,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.3333333333333333,-1.0,-1.8369701987210297e-16,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,9.028458718410613
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,10,4926.0,1587.0,2136.0,616.0,188.0,376.0,7.632967925294356,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.3333333333333333,-0.8660254037844386,0.5000000000000001,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.502485562543963
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,11,3347.0,640.0,1791.0,338.0,220.0,440.0,13.146100985957574,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.3333333333333333,-0.5000000000000004,0.8660254037844384,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.116118431609365
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2019,12,4561.0,1017.0,2372.0,461.0,276.0,552.0,12.102609076956808,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.3333333333333333,-2.4492935982947064e-16,1.0,8.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.425516402844334
